hidden_units,accuracy,training_time_sec
50,0.9123931623931624,0.1725469986597697
100,0.9358974358974359,0.19328678978814018
200,0.9650997150997151,0.23685682521146886
350,0.9629629629629629,0.2635588116115994
1500,0.9444444444444444,0.6836144924163818
2500,0.6011396011396012,1.349805474281311
